INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/C_testbenches/Scheduler_head_helpers_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Scheduler_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |reset|rsrc_reset |comp_rdy|comp_done |cmp_start |cmp_op  |group_done|comp_busy   |req       |grant     |granting|head0_phase |head1_phase 
22    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[-, 1]      |1       |RQ_Q        |V           
23    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[-, 1]      |1       |ATT_S       |V           
24    |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |ATT_S       |V_RQ        
25    |-    |-          |1       |-         |1         |ATT_S   |-         |1           |[-, -]      |[1, -]      |1       |ATT_S       |V_WB        
26    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[1, -]      |1       |ATT_S       |RQ_Q        
27    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[1, -]      |1       |ATT_S       |ATT_S       
28    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |SCALE       |ATT_S       
29    |-    |-          |1       |-         |1         |ATT_S   |-         |1           |[1, -]      |[-, 1]      |1       |SCALE       |ATT_S       
30    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |SCALE       |ATT_S       
31    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |SCALE       |ATT_S       
32    |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |SCALE       |SCALE       
33    |-    |-          |1       |-         |1         |SCALE   |-         |1           |[-, 1]      |[1, -]      |1       |SCALE       |SCALE       
34    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |SCALE       |SCALE       
35    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |SCALE       |SCALE       
36    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |SOFT        |SCALE       
37    |-    |-          |1       |-         |1         |SCALE   |-         |1           |[1, -]      |[-, 1]      |1       |SOFT        |SCALE       
38    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |SOFT        |SCALE       
39    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |SOFT        |SCALE       
40    |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |SOFT        |SOFT        
41    |-    |-          |1       |-         |1         |SOFT    |-         |1           |[-, 1]      |[1, -]      |1       |SOFT        |SOFT        
42    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |SOFT        |SOFT        
43    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |SOFT        |SOFT        
44    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |ATT_V       |SOFT        
45    |-    |-          |1       |-         |1         |SOFT    |-         |1           |[1, -]      |[-, 1]      |1       |ATT_V       |SOFT        
46    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |ATT_V       |SOFT        
47    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |ATT_V       |SOFT        
48    |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |ATT_V       |ATT_V       
49    |-    |-          |1       |-         |1         |ATT_V   |-         |1           |[-, 1]      |[1, -]      |1       |ATT_V       |ATT_V       
50    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |ATT_V       |ATT_V       
51    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |ATT_V       |ATT_V       
52    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |RQ2         |ATT_V       
53    |-    |-          |1       |-         |1         |ATT_V   |-         |1           |[-, -]      |[-, 1]      |1       |DONE        |ATT_V       
54    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[-, 1]      |1       |DONE        |ATT_V       
55    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[-, 1]      |1       |DONE        |ATT_V       
56    |-    |-          |-       |1         |-         |        |-         |-           |[-, -]      |[-, -]      |-       |DONE        |RQ2         
57    |-    |-          |1       |-         |-         |        |-         |-           |[-, -]      |[-, -]      |-       |DONE        |DONE        
58    |-    |-          |1       |-         |-         |        |1         |-           |[-, -]      |[-, -]      |-       |DONE        |DONE        
run_head_group logging complete.
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
