INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_parallel_headed/Simple_Scheduler_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_parallel_headed/Simple_Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  | WL_ready WL_start WL_addr  WL_head  WL_tile  | CmpStart   CmpReady   CmpDone    CmpOp
41       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
42       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
43       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
44       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
45       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
46       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
47       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
48       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          1          -          -
49       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID0
50       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
51       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
52       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          1          -
53       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | 1          1          -          LN0
54       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
55       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
56       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
57       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
58       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
59       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
60       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
61       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_ACT
62       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
63       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
64       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
65       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
66       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
67       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
68       0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          1          -
69       0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID1
70       0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
71       0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
72       0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          1          -
73       0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | 1          1          -          LN1
74       0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
75       0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
76       0      1      1        | S_LOOP_CHECK     -          -          -          | 1        -        -        0        0        | -          -          1          -
77       0      1      1        | S_LAYER_COUNT    -          -          -          | 1        -        -        0        0        | -          1          -          -
78       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          1          -          -
79       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | 1          1          -          ATT_SCORES
80       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
81       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
82       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          1          -
83       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | 1          1          -          CONCAT
84       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
85       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
86       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
87       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       0        | -          1          -          -
88       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
89       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
90       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
91       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
92       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
93       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
94       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
95       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       1        | -          1          -          -
96       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
97       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
98       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
99       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
100      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
101      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
102      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
103      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       2        | -          1          -          -
104      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
105      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
106      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
107      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
108      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
109      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
110      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
111      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       3        | -          1          -          -
112      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
113      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
114      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
115      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
116      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
117      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
118      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
119      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          1          -          -
120      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID0
121      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
122      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
123      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          1          -
124      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | 1          1          -          LN0
125      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
126      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
127      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
128      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
129      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
130      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
131      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
132      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_ACT
133      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
134      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
135      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
136      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
137      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
138      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
139      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          1          -
140      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID1
141      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
142      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
143      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          1          -
144      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | 1          1          -          LN1
145      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
146      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
147      0      1      1        | S_LOOP_CHECK     -          -          -          | 1        -        -        0        0        | -          -          1          -
148      0      1      1        | S_STREAM_OUT     -          -          -          | 1        -        -        0        0        | -          1          -          -
149      0      1      1        | S_STREAM_OUT     -          -          -          | 1        -        -        0        0        | -          1          -          -
150      0      1      1        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
151      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
152      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
153      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
PASS: DONE observed and FSM returned to IDLE after 4 post-done cycles. Layer=1
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
