INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/drive_head_phase_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |h0_phase    |hstrt|rdy |done|start |op    |h1_phase    |hstrt|rdy |done|start |op    |h2_phase    |hstrt|rdy |done|start |op    |h3_phase    |hstrt|rdy |done|start |op    |h4_phase    |hstrt|rdy |done|start |op    |h5_phase    |hstrt|rdy |done|start |op    |h6_phase    |hstrt|rdy |done|start |op    |h7_phase    |hstrt|rdy |done|start |op    
21    |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
22    |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
23    |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
24    |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
25    |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
26    |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
27    |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
28    |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
29    |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
30    |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
31    |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
32    |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
33    |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
34    |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
35    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     
36    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     
37    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     
38    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     
39    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     
40    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     
41    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     
42    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     
43    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     
44    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     
45    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     
46    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     
47    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     
48    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     
49    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     
50    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     
51    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     
52    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     
53    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   
54    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     
55    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     
56    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     |VAL_SCL     |-   |-   |1   |-     |-     
57    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   |VAL_SCL     |-   |1   |-   |1     |SCL   
58    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     
59    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     |VAL_SCL     |-   |-   |-   |-     |-     
60    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     |SOFT        |-   |-   |1   |-     |-     
61    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   |SOFT        |-   |1   |-   |1     |SFM   
62    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     
63    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     |SOFT        |-   |-   |-   |-     |-     
64    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     |ATT_VAL     |-   |-   |1   |-     |-     
65    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   |ATT_VAL     |-   |1   |-   |1     |VAL   
66    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     
67    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     |ATT_VAL     |-   |-   |-   |-     |-     
68    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     |RQ2         |-   |-   |1   |-     |-     
69    |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |-   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     |DONE        |-   |1   |-   |-     |-     
drive_head_phase test complete.
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
