WARNING: [vitis-run 60-2507] Dispatch failed to load the system diagram library librdi_system_diagram. Diagrams will not be produced.
  **** HLS Build v2025.1 6135595
INFO: [HLS 200-2005] Using work_dir /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls 
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [HLS 200-10] Creating and opening component '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls'.
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-2174] Applying component config ini file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'tb.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(12)
INFO: [HLS 200-10] Adding test bench file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.top=scheduler_hls' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(7)
INFO: [HLS 200-1465] Applying config ini 'flow_target=vivado' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying config ini 'part=xck26-sfvc784-2LV-c' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying config ini 'clock=10ns' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(13)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 10ns.
INFO: [HLS 200-1465] Applying config ini 'package.output.format=ip_catalog' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(5)
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  | WL_ready WL_start WL_addr  WL_head  WL_tile  | CmpStart   CmpReady   CmpDone    CmpOp
67       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
68       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
69       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
70       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
71       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
72       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
73       0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       2        | -          1          -          -
74       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
75       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
76       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
77       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
78       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
79       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
80       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
81       0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       3        | -          1          -          -
82       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
83       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
84       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
85       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
86       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
87       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
88       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
89       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
90       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_ACT
91       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
92       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
93       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
94       0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       0        | -          1          -          -
95       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
96       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
97       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
98       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
99       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
100      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
101      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
102      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       1        | -          1          -          -
103      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
104      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
105      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
106      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
107      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
108      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
109      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
110      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       2        | -          1          -          -
111      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
112      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
113      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
114      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
115      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
116      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
117      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
118      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       3        | -          1          -          -
119      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
120      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
121      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
122      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
123      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
124      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
125      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
126      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          1          -          -
127      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID1
128      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
129      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
130      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          1          -
131      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | 1          1          -          LN1
132      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
133      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
134      0      1      1        | S_LOOP_CHECK     -          -          -          | 1        -        -        0        0        | -          -          1          -
135      0      1      1        | S_LAYER_COUNT    -          -          -          | 1        -        -        0        0        | -          1          -          -
136      0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          1          -          -
137      0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | 1          1          -          ATT_SCORES
138      0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
139      0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
140      0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          1          -
141      0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | 1          1          -          CONCAT
142      0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
143      0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
144      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
145      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       0        | -          1          -          -
146      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
147      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
148      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
149      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
150      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
151      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
152      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
153      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       1        | -          1          -          -
154      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
155      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
156      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
157      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
158      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
159      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
160      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
161      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       2        | -          1          -          -
162      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
163      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
164      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
165      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
166      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
167      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
168      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
