INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |h0_phase    |rdy |done |start |op    |h1_phase    |rdy |done |start |op    |h2_phase    |rdy |done |start |op    |h3_phase    |rdy |done |start |op    
49    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |Q           |-   |-    |-     |-     
50    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |Q           |-   |-    |-     |-     
51    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |Q           |-   |1    |-     |-     
52    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |Q           |1   |-    |1     |Q     
53    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |K           |-   |-    |-     |-     
54    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |K           |-   |-    |-     |-     
55    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |K           |-   |1    |-     |-     
56    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |K           |1   |-    |1     |K     
57    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |V           |-   |-    |-     |-     
58    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |V           |-   |-    |-     |-     
59    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |V           |-   |1    |-     |-     
60    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |V           |1   |-    |1     |V     
61    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     
62    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     
63    |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |-    |-     |-     |DONE        |-   |1    |-     |-     
simple_head_helpers test complete.
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
