WARNING: [vitis-run 60-2507] Dispatch failed to load the system diagram library librdi_system_diagram. Diagrams will not be produced.
  **** HLS Build v2025.1 6135595
INFO: [HLS 200-2005] Using work_dir /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/drive_group_head_phase 
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/drive_group_head_phase/vitis-comp.json
INFO: [HLS 200-10] Creating and opening component '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/drive_group_head_phase'.
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-2174] Applying component config ini file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'tb.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/drive_head_phase_tb.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(10)
INFO: [HLS 200-10] Adding test bench file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/drive_head_phase_tb.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.top=drive_group_head_phase' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(7)
INFO: [HLS 200-1465] Applying config ini 'flow_target=vivado' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying config ini 'part=xck26-sfvc784-2LV-c' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying config ini 'clock=10ns' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(11)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 10ns.
INFO: [HLS 200-1465] Applying config ini 'package.output.format=ip_catalog' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/hls_config.cfg(5)
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_head_helpers/Head_helpers_parallel/drive_group_head_phase/vitis-comp.json
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |h0_phase    |hstrt|rdy |done|start |op    |h1_phase    |hstrt|rdy |done|start |op    |h2_phase    |hstrt|rdy |done|start |op    |h3_phase    |hstrt|rdy |done|start |op    
43    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
44    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
45    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
46    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
47    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
48    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
49    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
50    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
51    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
52    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
53    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
54    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
55    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
56    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
57    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
58    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
59    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
60    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
61    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
62    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
63    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
64    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
65    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
66    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
67    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
68    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
69    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
70    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
71    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
72    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
73    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
74    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
75    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
76    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
77    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
78    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
79    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
80    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
81    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
82    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
83    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
84    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
85    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
86    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
87    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
88    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
89    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
90    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
91    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
92    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
93    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
94    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
95    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
96    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
97    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
98    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
99    |DONE        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
